"parcel","year","transect","data_source","reference_group"
"PLC219",2022,"30","reference","LAW118/129"
"PLC219",2022,"37","reference","LAW118/129"
"PLC219",2022,"43","reference","LAW118/129"
"PLC219",2022,"44","reference","LAW118/129"
"PLC219",2022,"45","reference","LAW118/129"
"PLC219",2022,"46","reference","LAW118/129"
"PLC219",2022,"5","reference","LAW118/129"
"PLC219",2022,"52","reference","LAW118/129"
"PLC219",2022,"54","reference","LAW118/129"
"PLC219",2022,"6","reference","LAW118/129"
"PLC219",2022,"66","reference","LAW118/129"
"PLC219",2022,"70","reference","LAW118/129"
"PLC219",2022,"71","reference","LAW118/129"
"PLC219",2022,"82","reference","LAW118/129"
"PLC219",2023,"1","reference","LAW118/129"
"PLC219",2023,"10","reference","LAW118/129"
"PLC219",2023,"11","reference","LAW118/129"
"PLC219",2023,"12","reference","LAW118/129"
"PLC219",2023,"14","reference","LAW118/129"
"PLC219",2023,"15","reference","LAW118/129"
"PLC219",2023,"16","reference","LAW118/129"
"PLC219",2023,"17","reference","LAW118/129"
"PLC219",2023,"18","reference","LAW118/129"
"PLC219",2023,"19","reference","LAW118/129"
"PLC219",2023,"2","reference","LAW118/129"
"PLC219",2023,"20","reference","LAW118/129"
"PLC219",2023,"21","reference","LAW118/129"
"PLC219",2023,"22","reference","LAW118/129"
"PLC219",2023,"23","reference","LAW118/129"
"PLC219",2023,"26","reference","LAW118/129"
"PLC219",2023,"27","reference","LAW118/129"
"PLC219",2023,"28","reference","LAW118/129"
"PLC219",2023,"29","reference","LAW118/129"
"PLC219",2023,"3","reference","LAW118/129"
"PLC219",2023,"30","reference","LAW118/129"
"PLC219",2023,"31","reference","LAW118/129"
"PLC219",2023,"32","reference","LAW118/129"
"PLC219",2023,"4","reference","LAW118/129"
"PLC219",2023,"5","reference","LAW118/129"
"PLC219",2023,"6","reference","LAW118/129"
"PLC219",2023,"7","reference","LAW118/129"
"PLC219",2023,"8","reference","LAW118/129"
"PLC219",2023,"9","reference","LAW118/129"
"PLC219",2025,"10b","reference","LAW118/129"
"PLC219",2025,"11d","reference","LAW118/129"
"PLC219",2025,"12c","reference","LAW118/129"
"PLC219",2025,"13c","reference","LAW118/129"
"PLC219",2025,"14a","reference","LAW118/129"
"PLC219",2025,"15c","reference","LAW118/129"
"PLC219",2025,"1a","reference","LAW118/129"
"PLC219",2025,"2d","reference","LAW118/129"
"PLC219",2025,"3a","reference","LAW118/129"
"PLC219",2025,"4c","reference","LAW118/129"
"PLC219",2025,"5a","reference","LAW118/129"
"PLC219",2025,"6a","reference","LAW118/129"
"PLC219",2025,"7e","reference","LAW118/129"
"PLC219",2025,"8a","reference","LAW118/129"
"PLC219",2025,"9e","reference","LAW118/129"
"PLC227",2023,"1","reference","LAW118/129"
"PLC227",2023,"10","reference","LAW118/129"
"PLC227",2023,"11","reference","LAW118/129"
"PLC227",2023,"12","reference","LAW118/129"
"PLC227",2023,"13","reference","LAW118/129"
"PLC227",2023,"14","reference","LAW118/129"
"PLC227",2023,"15","reference","LAW118/129"
